"","x"
"1","2008-university-of-wisconsin-biotron-fresh-leaf-spectra-and-gas-exchange-leaf-traits"
"2","2014-cedar-creek-esr-grassland-biodiversity-experiment--leaf-level-contact-data--trait-predictions"
"3","2017-eagle-creek--alaska-plant-species-leaf-reflectance-spectra--svc-"
"4","2017-no-name-creek--alaska-plant-species-reflectance-spectra--svc-"
"5","2017-sagwon--alaska-plant-species-leaf-reflectance-spectra--svc-"
"6","2017-toolik--alaska-plant-species-leaf-reflectance-spectra--svc-"
"7","2017-utqia-vik--alaska-oil-spill-runway-plant-species-leaf-reflectance-spectra--svc-"
"8","2017-utqia-vik--alaska-plant-species-leaf-reflectance-spectra--svc-"
"9","2018-cedar-creek-pressed-leaves"
"10","2018-talladega-national-forest--leaf-level-reflectance-spectra-and-foliar-traits"
"11","3d-lma-leaf-level-spectra"
"12","angers-leaf-optical-properties-database--2003-"
"13","arctic-moss-spectral-reflectance-desiccation-experiment-from-samples-collected-in-northern-alaska"
"14","cabo-2018-2019-leaf-level-spectra"
"15","calcareous-grassland-species-over-growing-season-at-the-leaf-level"
"16","common-milkweed-leaf-responses-to-water-stress-and-elevated-temperature"
"17","couture-et-al--2016-mme-data"
"18","dessain-project-reflectance-spectra"
"19","dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states"
"20","dried-leaf-spectra-to-estimate-leaf-morphology-and-biochemistry-for-northern-temperate-forests"
"21","dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains"
"22","fab-leaf-spectra-across-a-light-gradient-at-cedar-creek-lter"
"23","fire-emitted-radiance-spectra"
"24","fresh-and-dry-pepper-leaf-spectra-with-associated-potassium-and-nitrogen-measurements"
"25","fresh-and-dry-spectra-of-several-plant-tissues-and-chemical-and-phenological-constituents"
"26","fresh-leaf-cabo-spectra-from-herbarium-project"
"27","fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains"
"28","fresh-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states"
"29","fresh-leaf-spectra-to-estimate-leaf-morphology-and-biochemistry-for-northern-temperate-forests"
"30","fresh-leaf-spectra-to-estimate-leaf-n-concentration-and-leaf-mass-per-area-in-two-vegetable-crops"
"31","fresh-leaf-spectra-to-estimate-leaf-traits-for-california-ecosystems"
"32","fresh-leaf-spectra-to-estimate-lma-over-neon-domains-in-eastern-united-states"
"33","fresh-leaf-tir-spectra-to-estimate-leaf-traits-for-california-ecosystems"
"34","greater-cape-floristic-region-leaf-spectral-library"
"35","ground-leaf-cabo-spectra-from-herbarium-project"
"36","hawaii-2000-vegetation-species-spectra"
"37","hyperspectral-leaf-reflectance--biochemistry--and-physiology-of-droughted-and-watered-crops"
"38","kalahari-ecosystem-endmember-set"
"39","leaf-and-canopy-level-detection-of-fusarium-virguliforme--sudden-death-syndrome--in-soybean"
"40","leaf-and-canopy-spectroscopy-and-biochemical-data-of-field-grown-cucurbita-pepo-under-two-stresses"
"41","leaf-level-spectra-and-lma-for-a-set-of-trees--forbs--vines-and-grasses-collected-in-madison--wi"
"42","leaf-optical-properties-experiment-database--lopex93-"
"43","leaf-reflectance-and-tratis-of-floating-and-emergent-macrophytes"
"44","leaf-reflectance-plant-functional-gradient-ifgg-kit"
"45","leaf-reflectance-spectra-and-nitrogen-concentration-of-oilseed-rape"
"46","leaf-spectra--structural-and-biochemical-leaf-traits-of-eight-crop-species"
"47","leaf-spectra-and-physiological-and-chemical-traits-from-maize-grown-under-nitrogen-stress"
"48","leaf-spectra-and-physiological-and-chemical-traits-from-sorghum-grown-under-nitrogen-stress"
"49","leaf-spectra-cedar-creek-biodiversity-experiment"
"50","leaf-spectra-cedar-creek-lter-for-chemical-analyses"
"51","leaf-spectra-forest-and-biodiversity-experiment-cedar-creek-lter"
"52","leaf-spectra-from-experimental-detection-of-oak-wilt-in-oak-seedlings"
"53","leaf-spectra-ident-cloquet"
"54","leaf-spectra-oak-savanna-cedar-creek-lter"
"55","leaf-spectra-of-36-species-growing-in-rosa-rugosa-invaded-coastal-grassland-communities-in-belgium"
"56","leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan"
"57","leaf-spectra-old-fields-cedar-creek-lter"
"58","leaf-spectral-reflectance-and-vcmax-measurements-for-tree-and-crop-species-collected-in-wisconsin"
"59","leaf-spectral-reflectance-of-tropical-plants-growing-in-biosphere-2"
"60","missoula-montana-lodgepole-pine---big-sagebrush-time-series"
"61","nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests"
"62","nasa-fft-project-leaf-transmittance-morphology-and-biochemistry-for-northern-temperate-forests"
"63","nasa-hyspiri-california"
"64","ngee-arctic-2016-leaf-spectral-reflectance-kougarok-road-watershed-seward-peninsula-alaska"
"65","ngee-arctic-2017-leaf-spectral-reflectance-teller-watershed-seward-peninsula-alaska"
"66","ngee-arctic-2019-leaf-spectral-reflectance-seward-peninsula-alaska"
"67","ngee-arctic-leaf-spectral-reflectance-and-transmittance-data-2014-to-2016-utqiagvik--barrow--alaska"
"68","ngee-arctic-leaf-spectral-reflectance-utqiagvik--barrow--alaska-2013"
"69","ngee-tropics-gliht-puerto-rico-campaign-leaf-spectral-reflectance-and-transmittance-march-2017"
"70","ngee-tropics-leaf-spectral-reflectance-measured-in-panama-collected-february-to-april-2016"
"71","phenology-leaf-spectra-cedar-creek-biodiversity-experiment-2014"
"72","potato-virus-y-detection-in-solanum-tuberosum--greenhouse-data-"
"73","pressed-leaf-cabo-spectra-from-herbarium-project"
"74","productivity-and-characterization-of-soybean-foliar-traits-under-aphid-pressure"
"75","seasonal-dried-and-ground-leaf-spectra-and-traits--blackhawk-island--wi"
"76","seasonal-fresh-leaf-spectra-and-traits--blackhawk-island--wi"
"77","seasonal-measurements-of-photosynthesis-and-leaf-traits-in-scarlet-oak"
"78","species-mean-leaf-level-spectra-from-the-cedar-creek-biodiversity-experiment"
"79","spectra-from-in-situ-deciduous-leaves-and-leaves-collected-for-nitrogen-analysis-throughout-autumn"
"80","spectral-characterization-of-multiple-corn-varieties--west-madison-agricultural-station-2014"
"81","spectral-variation-between-leaf-level-and-canopy-level-measurements-"
"82","uw-bnl-nasa-hyspiri-airborne-campaign-leaf-and-canopy-spectra-and-trait-data"
"83","varietal-discrimination-and-detection-of-pvy-in-solanum-tuberosum--hawaii-2014"
